pos,name,team,points
1,Jonas Vingegaard Hansen,Team Visma | Lease a Bike,6885.14
2,Tadej Pogačar,UAE Team Emirates XRG,4530
3,João Pedro Gonçalves Almeida,UAE Team Emirates XRG,4081.5
4,Isaac Del Toro Romero,UAE Team Emirates XRG,3824
5,Felix Gall,Decathlon CMA CGM Team,2543
