pos,name,team,points
1,Tadej Pogačar,UAE Team Emirates XRG,11635
2,Jonas Vingegaard Hansen,Team Visma | Lease a Bike,6885.14
3,Isaac Del Toro Romero,UAE Team Emirates XRG,6789
4,Remco Evenepoel,Red Bull - Bora - Hansgrohe,5625.86
5,Tom Pidcock,Pinarello-Q36.5 Pro Cycling Team,4335.38
